Learning Rate	TrainLoss	TestLoss	TrainL(reglr)	TrainL(bndry)	TrainL(snglr)	TrainL(symtry)	
0.00100000	1.58687760	0.00082971	0.12022825	0.00055684	0.00004010	0.00000286	
0.00100000	1.60686507	0.00086022	0.12777185	0.00053040	0.00004389	0.00000303	
0.00100000	1.61660618	0.00080832	0.12193654	0.00054593	0.00004530	0.00000277	
0.00100000	1.67151730	0.00088478	0.12279500	0.00054853	0.00006618	0.00000308	
0.00100000	1.64486036	0.00071957	0.12644970	0.00052860	0.00005908	0.00000291	
0.00100000	1.61350358	0.00072611	0.12265970	0.00055042	0.00003950	0.00000281	
0.00100000	1.66967802	0.00075556	0.12651389	0.00053952	0.00006388	0.00000293	
0.00100000	1.63347599	0.00068641	0.12108967	0.00054578	0.00004263	0.00000289	
0.00100000	1.60943184	0.00071451	0.12107791	0.00054383	0.00004337	0.00000284	
0.00100000	1.61571571	0.00072465	0.12433082	0.00053538	0.00004387	0.00000347	
0.00100000	1.64911977	0.00071030	0.11921861	0.00054440	0.00004089	0.00000307	
0.00100000	1.61130159	0.00073721	0.11864967	0.00054915	0.00004128	0.00000265	
0.00100000	1.61214699	0.00073151	0.12314865	0.00053270	0.00004246	0.00000285	
0.00100000	1.62745476	0.00062298	0.11905943	0.00054530	0.00006150	0.00000312	
0.00100000	1.62689404	0.00077751	0.12390045	0.00054174	0.00006276	0.00000283	
0.00100000	1.71274886	0.00063194	0.12078151	0.00054132	0.00010973	0.00000354	
0.00100000	1.77741981	0.00073734	0.12243223	0.00054787	0.00013946	0.00000401	
0.00100000	1.68366373	0.00064583	0.11977465	0.00054808	0.00008974	0.00000326	
0.00100000	1.67903649	0.00067184	0.13269561	0.00053539	0.00005611	0.00000306	
0.00100000	1.66781621	0.00061254	0.11954673	0.00054910	0.00007854	0.00000331	
0.00100000	1.68996532	0.00077914	0.13066091	0.00055588	0.00006296	0.00000311	
0.00100000	1.76270013	0.00079644	0.13973430	0.00057592	0.00006151	0.00000314	
0.00100000	1.84008756	0.00049814	0.14471349	0.00054393	0.00010924	0.00000396	
0.00100000	2.14695388	0.00055860	0.19806258	0.00057973	0.00015913	0.00000674	
0.00100000	2.10569660	0.00039372	0.19075855	0.00058420	0.00010422	0.00000927	
0.00100000	2.14675848	0.00065313	0.12427489	0.00064458	0.00016007	0.00000571	
0.00100000	1.74321716	0.00061381	0.14244778	0.00054596	0.00005945	0.00000372	
0.00100000	1.62972843	0.00057598	0.11911659	0.00055544	0.00004435	0.00000330	
0.00100000	1.72122684	0.00066243	0.12090616	0.00053610	0.00009902	0.00000314	
0.00100000	1.66612306	0.00065748	0.11387313	0.00054254	0.00008444	0.00000282	
0.00100000	1.61073799	0.00068214	0.11618160	0.00054468	0.00005869	0.00000293	
0.00100000	1.63984002	0.00065864	0.12152291	0.00053505	0.00005943	0.00000287	
0.00100000	1.59520525	0.00063469	0.11777390	0.00053878	0.00004731	0.00000284	
0.00100000	1.59191191	0.00058604	0.11579762	0.00053328	0.00004557	0.00000313	
0.00100000	1.54198752	0.00073282	0.11166619	0.00054683	0.00004452	0.00000295	
0.00100000	1.63392119	0.00063181	0.11809835	0.00053458	0.00007615	0.00000303	
0.00100000	1.67736771	0.00060150	0.11825823	0.00052788	0.00011712	0.00000324	
0.00100000	1.70279913	0.00063925	0.10836771	0.00055309	0.00012247	0.00000348	
0.00100000	1.58667411	0.00065045	0.11558170	0.00053514	0.00004952	0.00000310	
0.00100000	1.57458371	0.00062893	0.11252653	0.00054626	0.00004252	0.00000311	
0.00100000	1.55697219	0.00059100	0.11572327	0.00052694	0.00004771	0.00000293	
0.00100000	1.65075081	0.00057098	0.10958608	0.00055162	0.00007250	0.00000330	
0.00100000	1.58404249	0.00054763	0.11589385	0.00053063	0.00004445	0.00000292	
0.00100000	1.59662409	0.00051301	0.11845789	0.00053483	0.00005474	0.00000299	
0.00100000	1.52752895	0.00066487	0.11139479	0.00055062	0.00003999	0.00000285	
0.00100000	1.56751970	0.00058477	0.11944345	0.00052640	0.00004423	0.00000309	
0.00100000	1.60236892	0.00061476	0.10952920	0.00054668	0.00005567	0.00000378	
0.00100000	1.60330175	0.00054075	0.11484802	0.00052720	0.00008966	0.00000388	
0.00100000	1.68687315	0.00049548	0.11357140	0.00053151	0.00010646	0.00000325	
0.00100000	1.62041379	0.00059056	0.10752299	0.00054693	0.00007893	0.00000317	
0.00100000	1.62263045	0.00059649	0.11436405	0.00053785	0.00007784	0.00000343	
0.00100000	1.68102435	0.00051053	0.11236036	0.00054842	0.00009279	0.00000424	
0.00100000	1.63394752	0.00071309	0.10902622	0.00055402	0.00010100	0.00000383	
0.00100000	1.66685432	0.00053131	0.11028226	0.00054303	0.00008955	0.00000346	
0.00100000	1.77805195	0.00057594	0.11664156	0.00054021	0.00015055	0.00000357	
0.00100000	1.81830102	0.00057293	0.10885612	0.00054263	0.00014128	0.00000391	
0.00100000	1.61818623	0.00044065	0.11025240	0.00053738	0.00010094	0.00000359	
0.00100000	1.73066640	0.00061598	0.11114480	0.00054339	0.00013708	0.00000391	
0.00100000	1.79394837	0.00047606	0.11830444	0.00054647	0.00018828	0.00000452	
0.00100000	1.89737088	0.00049230	0.11215494	0.00054247	0.00019190	0.00000455	
0.00100000	1.71978901	0.00054134	0.10729263	0.00055605	0.00013362	0.00000383	
0.00100000	1.64280941	0.00050452	0.10794078	0.00054351	0.00007981	0.00000383	
